Open,High,Low,Close,Adj Close,Volume
196.92999267578125,198.05999755859375,196.38999938964844,198.02999877929688,195.0137939453125,925400
198.4199981689453,202.35000610351562,197.58999633789062,201.6199951171875,198.54910278320312,1944100
202.5800018310547,202.74000549316406,196.47000122070312,198.13999938964844,195.12208557128906,1330200
199.97999572753906,200.35000610351562,194.66000366210938,197.6199951171875,194.6100311279297,1044700
195.9600067138672,201.33999633789062,194.63999938964844,200.0800018310547,197.0325469970703,1537300
202.36000061035156,208.22000122070312,201.69000244140625,205.41000366210938,202.2813720703125,2487800
205.49000549316406,206.63999938964844,201.0800018310547,201.77999877929688,198.70664978027344,1115600
202.6999969482422,203.22000122070312,200.52999877929688,202.02000427246094,198.9429931640625,902600
203.75,206.8699951171875,203.49000549316406,205.50999450683594,202.3798370361328,929100
206.1999969482422,211.9600067138672,206.05999755859375,210.5,207.29383850097656,2052500
211.77999877929688,216.85000610351562,211.4600067138672,215.80999755859375,212.52296447753906,2038000
213.1699981689453,215.3300018310547,210.67999267578125,211.57000732421875,208.34754943847656,1427100
211.69000244140625,213.08999633789062,205.69000244140625,206.3800048828125,203.23663330078125,2612000
202.0500030517578,203.47000122070312,199.0800018310547,202.91000366210938,199.81944274902344,1316600
202.3000030517578,203.64999389648438,199.0399932861328,203.3699951171875,200.27243041992188,1036100
203.85000610351562,205.52000427246094,201.85000610351562,202.39999389648438,199.3172149658203,1048500
201.6300048828125,201.7899932861328,197.5800018310547,198.9600067138672,195.92959594726562,928400
196.75,205.14999389648438,196.75,205.00999450683594,201.887451171875,836000
209.02000427246094,210.14999389648438,207.00999450683594,207.25,204.0933380126953,1219100
207.99000549316406,208.86000061035156,203.4499969482422,204.74000549316406,202.18251037597656,782100
205.22000122070312,210.6699981689453,204.77999877929688,208.3699951171875,205.76715087890625,1098400
209.83999633789062,210.24000549316406,206.3300018310547,208.6699981689453,206.0634307861328,1050900
205.85000610351562,210.92999267578125,204.4499969482422,208.3000030517578,205.6980438232422,966300
210.5399932861328,214.10000610351562,210.3699951171875,214.05999755859375,211.3861083984375,999600
213.8000030517578,214.80999755859375,210.02000427246094,210.58999633789062,207.95944213867188,808700
213.42999267578125,218.1199951171875,213.17999267578125,217.39999389648438,214.6843719482422,1067000
218.0,220.10000610351562,216.80999755859375,219.08999633789062,216.35325622558594,1125600
220.0,224.72999572753906,219.6199951171875,222.92999267578125,220.14529418945312,1237800
225.0,227.38999938964844,223.60000610351562,225.6300048828125,222.81158447265625,1081000
224.08999633789062,224.89999389648438,219.2899932861328,220.0,217.2519073486328,852400
220.49000549316406,224.66000366210938,220.0800018310547,221.22000122070312,218.45664978027344,743400
217.36000061035156,223.35000610351562,216.9600067138672,222.3300018310547,219.55279541015625,773000
223.8000030517578,227.05999755859375,223.32000732421875,224.0500030517578,221.2512969970703,820600
224.1999969482422,226.0,219.72999572753906,220.88999938964844,218.1307830810547,763300
222.1300048828125,224.60000610351562,220.47999572753906,220.8000030517578,218.0419158935547,603500
221.58999633789062,222.75999450683594,219.72999572753906,220.89999389648438,218.14064025878906,607600
221.4600067138672,225.02999877929688,219.66000366210938,224.63999938964844,221.8339385986328,971100
226.0,226.41000366210938,221.07000732421875,221.89999389648438,219.12814331054688,858900
218.7899932861328,218.9199981689453,212.69000244140625,214.74000549316406,212.05763244628906,1322900
214.69000244140625,216.77000427246094,213.02000427246094,213.4600067138672,210.79360961914062,864600
208.8300018310547,209.10000610351562,203.66000366210938,204.9499969482422,202.389892578125,1184100
204.9600067138672,208.52000427246094,202.27000427246094,205.38999938964844,202.8243865966797,1065600
209.27999877929688,212.49000549316406,196.08999633789062,202.00999450683594,199.48660278320312,2385200
204.0,206.0800018310547,200.25,202.77999877929688,200.2469940185547,1274400
206.0,209.66000366210938,205.11000061035156,208.25999450683594,205.65853881835938,1044300
209.82000732421875,215.0,207.0500030517578,207.72999572753906,205.13514709472656,1140000
211.1199951171875,212.27999877929688,208.85000610351562,210.60000610351562,207.96932983398438,1113400
210.8800048828125,215.0,208.9199981689453,213.44000244140625,210.77383422851562,1119100
231.35000610351562,241.52999877929688,230.63999938964844,234.35000610351562,231.4226531982422,3092700
232.66000366210938,233.0,227.25,230.57000732421875,227.68988037109375,1380400
232.4600067138672,232.4600067138672,223.8300018310547,225.24000549316406,222.4264373779297,1166000
224.27999877929688,227.4499969482422,222.61000061035156,225.22000122070312,222.4066925048828,826000
226.3300018310547,232.38999938964844,226.0,231.94000244140625,229.04273986816406,938900
235.14999389648438,236.02999877929688,231.75999450683594,235.77999877929688,232.83477783203125,1646600
232.35000610351562,233.5800018310547,227.5,231.44000244140625,228.5489959716797,997900
231.3699951171875,234.9499969482422,231.0,231.75999450683594,228.86500549316406,855800
231.0,234.00999450683594,229.44000244140625,233.57000732421875,230.6523895263672,1099600
232.74000549316406,234.27000427246094,231.02000427246094,232.86000061035156,229.95126342773438,1116800
233.4499969482422,235.41000366210938,232.19000244140625,233.00999450683594,230.09938049316406,699300
235.38999938964844,242.50999450683594,235.0800018310547,240.30999755859375,237.30819702148438,1522900
240.2899932861328,240.50999450683594,233.05999755859375,233.72000122070312,230.80052185058594,1900100
235.67999267578125,236.60000610351562,231.80999755859375,232.80999755859375,229.90188598632812,787600
233.57000732421875,234.74000549316406,230.75999450683594,233.39999389648438,230.4844970703125,1671900
235.6300048828125,236.11000061035156,230.19000244140625,231.0,228.11448669433594,1464200
230.92999267578125,234.30999755859375,229.5500030517578,234.25999450683594,231.33377075195312,787600
