Open,High,Low,Close,Adj Close,Volume
145.97999572753906,147.75999450683594,144.5399932861328,146.4600067138672,145.11337280273438,1472500
148.5,154.24000549316406,147.22000122070312,153.2899932861328,151.88055419921875,2137200
149.00999450683594,149.58999633789062,139.42999267578125,139.91000366210938,138.6236114501953,3485900
139.6199951171875,141.64999389648438,133.86000061035156,139.00999450683594,137.73187255859375,3237100
133.10000610351562,135.44000244140625,130.72000122070312,130.83999633789062,129.63697814941406,2678600
135.1199951171875,138.5800018310547,135.0800018310547,137.61000061035156,136.34474182128906,2713100
139.27000427246094,140.64999389648438,134.19000244140625,135.22999572753906,133.9866180419922,2172200
137.57000732421875,138.44000244140625,134.1300048828125,136.14999389648438,134.89816284179688,1496100
137.44000244140625,138.8800048828125,136.0800018310547,137.7899932861328,136.52308654785156,1182200
139.38999938964844,142.75999450683594,139.3000030517578,140.91000366210938,139.61439514160156,1760800
142.41000366210938,142.8300018310547,140.25,140.33999633789062,139.0496368408203,1460500
134.9600067138672,138.8300018310547,134.9600067138672,138.36000061035156,137.0878448486328,1825800
139.42999267578125,139.91000366210938,133.6699981689453,136.00999450683594,134.7594451904297,2415300
133.5800018310547,134.63999938964844,131.44000244140625,134.25,133.01565551757812,2050800
135.58999633789062,139.6999969482422,133.77000427246094,139.63999938964844,138.3560791015625,1695400
139.05999755859375,139.6300048828125,133.58999633789062,133.9199981689453,132.6886749267578,1369000
131.9600067138672,137.6300048828125,131.94000244140625,135.1999969482422,133.9569091796875,2145300
135.60000610351562,138.91000366210938,133.6199951171875,138.0,136.73117065429688,1909000
140.6300048828125,144.00999450683594,139.02000427246094,143.97000122070312,142.64627075195312,2052300
145.1999969482422,146.47999572753906,143.7100067138672,144.35000610351562,143.0227813720703,1452600
143.52000427246094,147.1300048828125,143.36000061035156,145.5,144.16220092773438,1826000
147.5,152.47999572753906,147.13999938964844,152.10000610351562,150.70152282714844,1983900
148.10000610351562,149.6199951171875,146.8000030517578,146.8300018310547,145.47998046875,1604000
148.10000610351562,151.75999450683594,148.10000610351562,151.6199951171875,150.22592163085938,1359900
150.5800018310547,151.6999969482422,146.5399932861328,147.27000427246094,145.91592407226562,1568900
149.9499969482422,151.02999877929688,149.02999877929688,149.86000061035156,148.48211669921875,1331700
151.0,151.66000366210938,149.80999755859375,151.5500030517578,150.1565704345703,2172700
153.3000030517578,154.83999633789062,152.47999572753906,154.27999877929688,152.86146545410156,1897000
156.47999572753906,158.61000061035156,155.25999450683594,157.08999633789062,155.6456298828125,2307900
157.77999877929688,158.0,152.39999389648438,153.1999969482422,151.79139709472656,2023900
154.77999877929688,154.8300018310547,151.80999755859375,153.30999755859375,151.900390625,1121000
150.55999755859375,153.74000549316406,149.60000610351562,153.3800048828125,151.96975708007812,965500
154.39999389648438,154.9199981689453,152.9199981689453,153.14999389648438,151.7418670654297,1110000
154.50999450683594,156.97999572753906,150.3800048828125,151.13999938964844,149.75033569335938,1188900
152.66000366210938,153.9600067138672,151.42999267578125,152.4499969482422,151.04827880859375,954300
152.6199951171875,153.5,150.30999755859375,150.38999938964844,149.0072479248047,858400
150.91000366210938,151.52999877929688,147.3300018310547,149.72999572753906,148.35330200195312,903400
149.58999633789062,150.5500030517578,148.82000732421875,149.75999450683594,148.38302612304688,819300
148.38999938964844,148.75999450683594,144.80999755859375,147.2899932861328,145.93572998046875,1311300
147.49000549316406,148.1999969482422,144.41000366210938,145.1199951171875,143.7856903076172,1100900
142.35000610351562,142.94000244140625,139.08999633789062,139.7899932861328,138.5046844482422,1707300
140.0,146.7899932861328,139.8000030517578,145.16000366210938,143.82533264160156,1459600
142.8300018310547,143.91000366210938,139.6300048828125,141.2899932861328,139.9908905029297,1796000
143.3800048828125,144.85000610351562,139.94000244140625,142.1199951171875,140.8132781982422,2388700
141.9199981689453,142.92999267578125,134.83999633789062,138.8000030517578,137.5238037109375,5238800
142.08999633789062,142.6199951171875,139.14999389648438,139.52999877929688,138.24710083007812,3016100
143.86000061035156,149.32000732421875,142.5,149.1199951171875,147.74891662597656,5281200
148.08999633789062,148.7100067138672,143.9199981689453,146.74000549316406,145.3907928466797,2581600
151.35000610351562,151.88999938964844,144.4199981689453,144.5800018310547,143.2506561279297,2372500
142.8699951171875,143.99000549316406,136.86000061035156,137.24000549316406,135.97813415527344,2588300
139.74000549316406,144.5,139.16000366210938,143.8699951171875,142.54718017578125,1982100
143.89999389648438,144.42999267578125,140.33999633789062,141.33999633789062,140.0404510498047,1941500
144.13999938964844,145.0500030517578,140.9499969482422,141.5,140.198974609375,1374800
141.0,143.74000549316406,140.6699981689453,143.41000366210938,142.09141540527344,1922300
143.1699981689453,143.50999450683594,140.5500030517578,140.77999877929688,139.485595703125,1474600
141.11000061035156,141.24000549316406,137.44000244140625,137.55999755859375,136.781005859375,2014000
137.17999267578125,139.5,136.0,139.36000061035156,138.57080078125,1795100
139.25,141.75999450683594,138.38999938964844,140.38999938964844,139.59498596191406,1764000
141.0500030517578,141.77999877929688,136.55999755859375,138.02999877929688,137.2483367919922,3068100
138.50999450683594,139.7100067138672,135.3300018310547,138.85000610351562,138.06370544433594,2235900
138.74000549316406,138.91000366210938,134.27999877929688,135.9499969482422,135.18011474609375,3035500
136.8800048828125,138.77000427246094,135.97000122070312,136.16000366210938,135.38893127441406,1215700
136.3800048828125,141.25,136.3800048828125,141.1699981689453,140.3705596923828,2734000
142.00999450683594,145.4600067138672,141.16000366210938,144.0,143.18453979492188,2616200
143.35000610351562,145.05999755859375,142.50999450683594,143.4499969482422,142.63763427734375,1276300
