date,wealth,wealth_spx
2020-08-28,1000000.0,1000000.0
2020-09-04,1005563.069962289,976895.7190536808
2020-09-11,1014916.1497738007,952383.2490222398
2020-09-18,945374.5150778744,946254.4181636766
2020-09-25,966290.4792236572,940265.264852501
2020-10-02,996315.3345419404,954506.9462611689
2020-10-09,1005813.7402720354,991200.1057290134
2020-10-16,1008555.6184865151,993101.5159293995
2020-10-23,918478.7273667109,987850.6283993336
2020-10-30,983899.0681915914,932141.0006911498
2020-11-06,1054701.9854500182,1000407.6190309161
2020-11-13,1078339.9814457921,1021989.64437484
2020-11-20,1118637.2644211608,1014119.12427815
2020-11-27,1175681.0688839904,1037154.9931521813
2020-12-04,1210199.3567138521,1054478.2104070003
2020-12-11,1210891.4524706835,1044312.8584978756
2020-12-18,1286628.3313173754,1057411.4389021387
2020-12-25,1286628.3313173754,1057411.4389021387
2021-01-01,1286628.3313173754,1057411.4389021387
2021-01-08,1281961.837989785,1090270.5297286643
2021-01-15,1240758.3631044342,1074184.5061758424
2021-01-22,1181387.7087992388,1095056.7301715822
2021-01-29,1262376.900567284,1058788.3101515234
2021-02-05,1291795.473688885,1107987.1685955322
2021-02-12,1325213.3496293186,1121670.1398146497
2021-02-19,1295946.5918128581,1113654.1657697586
2021-02-26,1364823.5432069728,1086413.6338648526
2021-03-05,1463467.6960372226,1095190.7009133464
2021-03-12,1443954.8778805532,1124096.019370847
2021-03-19,1552851.362943647,1115475.7502866103
2021-03-26,1611151.0617672044,1132989.9367442352
2021-04-02,1611151.0617672044,1132989.9367442352
2021-04-09,1632411.4789341046,1176963.518688292
2021-04-16,1643702.9161262414,1193118.093503783
2021-04-23,1681251.3277072348,1191607.1819174436
2021-04-30,1767581.5382629707,1191892.2438178419
2021-05-07,1773278.1063012904,1206553.027463863
2021-05-14,1774421.2953671734,1189805.6408154636
2021-05-21,1778397.4107103685,1184677.3104159154
2021-05-28,1901797.2524965461,1198431.5471101329
2021-06-04,1934603.8937945517,1205780.520849014
2021-06-11,1892823.8607730041,1210783.3015248515
2021-06-18,1943405.9459375548,1187696.2105905924
2021-06-25,1946566.5505132042,1220264.5327110966
