date,wealth,wealth_spx
2021-07-02,1944751.0117243247,1240686.2670385554
2021-07-09,1853966.8269673765,1245592.1712091796
2021-07-16,1884194.106717818,1233508.4974683705
2021-07-23,1879001.4600251096,1257633.252693386
2021-07-30,1882654.2637673998,1252921.101533189
2021-08-06,1850711.942317455,1264682.8279226206
2021-08-13,1816313.3152045244,1273656.5709795433
2021-08-20,1814735.7133213012,1266150.8688715955
2021-08-27,1796506.2331363454,1285449.615204712
2021-09-03,1770775.2187269374,1292878.345031937
2021-09-10,1741319.3628067425,1270971.3101482522
2021-09-17,1759179.8235407239,1263676.620657982
2021-09-24,1779878.5780285345,1270087.5904189416
2021-10-01,1775783.1304835286,1242026.11364658
2021-10-08,1810877.8545001065,1251803.6811540886
2021-10-15,1789631.194344921,1274617.262989577
2021-10-22,1732009.6150041982,1295577.8032820954
2021-10-29,1734236.826382813,1312818.3414505683
2021-11-05,1793090.0078238463,1339086.7677341942
2021-11-12,1796408.6574644216,1334902.1481181914
2021-11-19,1813786.0285638915,1339209.3944599025
2021-11-26,1750485.561052462,1309751.1422136656
2021-12-03,1804753.1947691033,1293733.5307331316
2021-12-10,1882032.8536658483,1343217.3814823483
2021-12-17,1909488.2360834992,1317168.4584296443
2021-12-24,1909488.2360834992,1317168.4584296443
2021-12-31,2063375.5465684277,1358656.3785488415
2022-01-07,2099836.713931649,1333242.9987760296
2022-01-14,2010681.2254783434,1329200.9101102257
2022-01-21,2015193.7118568649,1253685.1175347937
2022-01-28,2100993.3440411007,1263351.6111182214
2022-02-04,2049069.9220067696,1282929.5733557318
2022-02-11,2007686.2214826895,1259585.9545491906
2022-02-18,2026257.0448307493,1239697.1801907867
2022-02-25,2023248.8164138237,1249896.63374327
2022-03-04,2028306.063658462,1233995.942182821
2022-03-11,2152062.4749857257,1198488.615166365
2022-03-18,2382038.2283111177,1272265.502311291
2022-03-25,2348071.5441021556,1295053.3339262845
2022-04-01,2302590.323822599,1295851.451571247
2022-04-08,2322381.892141177,1279437.565075853
2022-04-15,2322381.892141177,1279437.565075853
2022-04-22,2158587.916553624,1217721.6636396237
2022-04-29,2139484.835163996,1177855.8682212282
2022-05-06,2084883.437135983,1175407.091847348
2022-05-13,2045436.4115950693,1147057.6997717766
2022-05-20,2190401.9896913315,1112129.1263597421
2022-05-27,2193182.802804021,1185355.8635235531
2022-06-03,2019969.142945712,1171188.2313976057
2022-06-10,1904977.2117845304,1111986.595409543
2022-06-17,2034873.1071756294,1047556.899113907
2022-06-24,1958543.1744705692,1115088.035480185
2022-07-01,1952120.583260312,1090455.8617210377
2022-07-08,1871851.0939515661,1111564.6397693781
2022-07-15,1970962.2497620564,1101239.706088375
2022-07-22,2009466.89433966,1129309.7430691717
2022-07-29,2122155.4841283406,1177388.3277312685
2022-08-05,2180383.6025024913,1181635.7222091267
2022-08-12,2152188.287385467,1220107.665151649
2022-08-19,2102985.080676216,1205378.5390285305
2022-08-26,2044609.9272856857,1156684.245715842
2022-09-02,2141710.063737927,1118657.0160407866
2022-09-09,2035418.236857784,1159449.4018258576
2022-09-16,1962195.4860761538,1104138.8329401554
2022-09-23,1870133.1334548849,1052799.1568403477
2022-09-30,1884553.459299745,1022123.684711795
2022-10-07,1872614.2834473227,1037528.3713493581
2022-10-14,1968794.8435098464,1021396.7629467411
2022-10-21,2075431.3235651052,1069766.0467196691
2022-10-28,1891962.339711268,1112043.5938705846
2022-11-04,2092260.2071594624,1074840.1624657966
2022-11-11,2023471.275483136,1138232.1944706761
2022-11-18,2066020.9079530728,1130367.3811796093
2022-11-25,2080305.527392963,1147693.45183724
2022-12-02,2013682.3781076316,1160686.5259326643
2022-12-09,1981087.0786180939,1121541.8062833182
2022-12-16,1918214.468114822,1098161.0932402262
2022-12-23,1921821.9177815393,1096011.7153759925
2022-12-30,2020383.6229178025,1094495.1665792204
2023-01-06,2071167.1600688854,1110338.929273818
2023-01-13,2048335.0379797074,1139988.2203180513
2023-01-20,2112896.4066984793,1132439.78676312
2023-01-27,2225858.738528998,1160361.585988094
2023-02-03,2100760.34789387,1179152.844191888
2023-02-10,2097613.7408425696,1166034.2899679437
2023-02-17,2084903.418191384,1162793.1723499142
2023-02-24,2078942.6734768334,1131707.1581924432
2023-03-03,1991651.1378976195,1153257.7961054393
2023-03-10,2007229.5397606282,1100792.2090132872
2023-03-17,2027754.7815751303,1116484.8109540604
2023-03-24,2233930.2931508194,1131977.9530787834
2023-03-31,2266907.573551756,1171407.7346285277
2023-04-07,2266907.573551756,1171407.7346285277
2023-04-14,2258966.084701525,1179483.560537272
2023-04-21,2256433.392595557,1178309.0721019397
2023-04-28,2244663.771588181,1188559.8869050315
2023-05-05,2182702.4858726,1179087.2855224118
2023-05-12,2166196.2158057224,1175618.1044650255
2023-05-19,2134785.804063088,1194973.779663993
2023-05-26,2157136.6482262225,1198813.6247061256
2023-06-02,2254229.5625487175,1220740.5638143008
2023-06-09,2315927.8216456384,1225441.1621728705
2023-06-16,2295189.9283268307,1257006.0608363573
2023-06-23,2367517.107571766,1239543.235629341
2023-06-30,2337444.329815109,1268633.746888834
2023-07-07,2394209.1760442266,1253973.102433194
2023-07-14,2421660.43296655,1284323.5650219861
2023-07-21,2481975.543103054,1293137.6567118403
2023-07-28,2409895.445964449,1306219.1862944243
2023-08-04,2358866.602148863,1276515.6805967703
2023-08-11,2273745.3921210356,1272530.5207968175
