ticker,size_score,average_size,Date,Close,Close_lag,weights,holding_value,holding_size,holding_value_next,week_return_on_position,position
MANLX,9.615805480084347,8000.0,2020-10-09,11.109999656677246,11.119999885559082,0.029250457038391225,380.25594149908596,34.226458438326546,380.5982139172839,0.342272418197922,long
MTCH,9.615805480084347,8000.0,2020-10-09,112.37999725341795,112.20999908447266,0.029250457038391225,380.25594149908596,3.3836621355453964,379.6807251317137,-0.5752163673722634,long
COST,9.615805480084347,8000.0,2020-10-09,369.4599914550781,381.5400085449219,0.029250457038391225,380.25594149908596,1.0292208907424296,392.6889474484787,12.433005949392737,long
CAH,9.615805480084347,8000.0,2020-10-09,48.02999877929688,48.790000915527344,0.029250457038391225,380.25594149908596,7.917050825805842,386.27291703934355,6.01697554025759,long
EFG,9.615805480084347,8000.0,2020-10-09,92.19000244140624,91.26000213623048,0.029250457038391225,380.25594149908596,4.12469824741319,376.41997087023384,-3.835970628852124,long
EL,9.615805480084347,8000.0,2020-10-09,224.6000061035156,224.1300048828125,0.029250457038391225,380.25594149908596,1.6930362028745018,379.46021241704045,-0.7957290820455114,long
FSLY,9.615805480084347,8000.0,2020-10-09,126.58000183105467,84.66999816894531,0.029250457038391225,380.25594149908596,3.004075967755243,254.35510668920904,-125.90083480987693,long
BGSIX,9.615805480084347,8000.0,2020-10-09,58.400001525878906,58.81999969482422,0.029250457038391225,380.25594149908596,6.511231704858473,382.9906468927052,2.7347053936192083,long
GSK,9.615805480084347,8000.0,2020-10-09,37.56999969482422,36.56999969482422,0.029250457038391225,380.25594149908596,10.12126549342164,370.1346760056643,-10.121265493421674,long
IEF,9.615805480084347,8000.0,2020-10-09,121.01000213623048,121.25,0.029250457038391225,380.25594149908596,3.1423513328344703,381.01009910617955,0.7541576070935889,long
IEFA,9.615805480084347,8000.0,2020-10-09,62.18000030517578,61.27999877929688,0.029250457038391225,380.25594149908596,6.115405912396465,374.7520668465603,-5.503874652525667,long
NSRGY,9.615805480084347,8000.0,2020-10-09,119.3000030517578,117.66000366210938,0.029250457038391225,380.25594149908596,3.1873925546683646,375.02861965485994,-5.227321844226026,long
IHI,9.615805480084347,8000.0,2020-10-09,51.93999862670898,52.36000061035156,0.029250457038391225,380.25594149908596,7.32106183197987,383.33080199088755,3.074860491801587,long
YEXT,9.615805480084347,8000.0,2020-10-09,16.18000030517578,17.75,0.029250457038391225,380.25594149908596,23.5016028632241,417.1534508222278,36.89750932314183,long
