date,S&P North American Technology Sector Index
11/15/2022,1242.31
11/16/2022,1218.86
11/17/2022,1212.85
11/18/2022,1212.4
11/21/2022,1195.88
11/22/2022,1217.99
11/23/2022,1231.43
11/25/2022,1224.57
11/28/2022,1203.34
11/29/2022,1193.85
11/30/2022,1253.66
12/1/2022,1257.62
12/2/2022,1249.53
12/5/2022,1223.92
12/6/2022,1194.98
12/7/2022,1189.78
12/8/2022,1208.32
12/9/2022,1200.31
12/12/2022,1223.53
12/13/2022,1241.76
12/14/2022,1232.94
12/15/2022,1186.27
12/16/2022,1175.07
12/19/2022,1154.49
12/20/2022,1158.13
12/21/2022,1176.08
12/22/2022,1146.02
12/23/2022,1150.35
12/27/2022,1136.54
12/28/2022,1120.55
12/29/2022,1152.26
12/30/2022,1150.69
1/3/2023,1149.67
1/4/2023,1157.15
1/5/2023,1132.76
1/6/2023,1164.92
1/9/2023,1179.32
1/10/2023,1189.86
1/11/2023,1213.5
1/12/2023,1221.97
1/13/2023,1229.63
1/17/2023,1230.84
1/18/2023,1216.14
1/19/2023,1204.09
1/20/2023,1241.73
1/23/2023,1271.08
1/24/2023,1263.5
1/25/2023,1260.29
1/26/2023,1281.87
1/27/2023,1293.13
1/30/2023,1266.8
1/31/2023,1288.24
2/1/2023,1320.81
2/2/2023,1374.87
2/3/2023,1343.55
2/6/2023,1326.01
2/7/2023,1356.27
2/8/2023,1328.85
2/9/2023,1316.19
2/10/2023,1304.68
2/13/2023,1324.42
2/14/2023,1333.2
2/15/2023,1345.02
2/16/2023,1317.29
2/17/2023,1301.22
2/21/2023,1269.73
2/22/2023,1270.87
2/23/2023,1287.49
2/24/2023,1265.12
2/27/2023,1270.36
2/28/2023,1272.1
3/1/2023,1263.35
3/2/2023,1278.02
3/3/2023,1306.02
3/6/2023,1306.77
3/7/2023,1292.11
3/8/2023,1302.4
3/9/2023,1278.85
3/10/2023,1253.39
3/13/2023,1257.62
3/14/2023,1290.72
3/15/2023,1292.14
3/16/2023,1330.9
3/17/2023,1324.5
3/20/2023,1328.01
3/21/2023,1349.29
3/22/2023,1330.74
3/23/2023,1350.26
3/24/2023,1348.61
3/27/2023,1340.29
3/28/2023,1331.92
3/29/2023,1359.03
3/30/2023,1371.14
3/31/2023,1394.78
4/3/2023,1392.48
4/4/2023,1386.88
4/5/2023,1368.5
4/6/2023,1378.09
4/10/2023,1378.94
4/11/2023,1369.12
4/12/2023,1357.94
4/13/2023,1385.4
4/14/2023,1384.1
4/17/2023,1384.45
4/18/2023,1385.12
4/19/2023,1381.5
4/20/2023,1373.7
4/21/2023,1375.62
4/24/2023,1370.9
4/25/2023,1337.54
4/26/2023,1348.44
4/27/2023,1383.54
4/28/2023,1390.13
5/1/2023,1388.73
5/2/2023,1372.31
5/3/2023,1363.78
5/4/2023,1359.65
5/5/2023,1387.59
5/8/2023,1393.7
5/9/2023,1386.02
5/10/2023,1405.68
5/11/2023,1409.4
5/12/2023,1405.68
5/15/2023,1419.38
5/16/2023,1422.96
5/17/2023,1446.23
5/18/2023,1476.38
5/19/2023,1470.29
5/22/2023,1476.53
5/23/2023,1456.06
5/24/2023,1448.34
5/25/2023,1493.65
5/26/2023,1536.68
5/30/2023,1543.42
5/31/2023,1529.13
6/1/2023,1549.55
6/2/2023,1560.28
6/5/2023,1556.66
6/6/2023,1564.02
6/7/2023,1531.83
6/8/2023,1545.54
6/9/2023,1549.88
6/12/2023,1581.9
6/13/2023,1592.25
6/14/2023,1605.14
6/15/2023,1623.07
6/16/2023,1611.2
6/20/2023,1604.77
6/21/2023,1576.6
6/22/2023,1587.51
6/23/2023,1571.03
6/26/2023,1553.28
6/27/2023,1586.72
6/28/2023,1587.26
6/29/2023,1587.43
6/30/2023,1611.38
7/3/2023,1610.78
7/5/2023,1606.09
7/6/2023,1593.02
7/7/2023,1590.07
7/10/2023,1601.26
7/11/2023,1612.29
7/12/2023,1633.72
7/13/2023,1666.35
7/14/2023,1657.07
7/17/2023,1679.13
7/18/2023,1691.09
7/19/2023,1687.82
7/20/2023,1644.62
7/21/2023,1641.71
7/24/2023,1643.42
7/25/2023,1661.9
7/26/2023,1655.34
7/27/2023,1660.59
7/28/2023,1688.68
7/31/2023,1694.6
8/1/2023,1696.71
8/2/2023,1646.54
8/3/2023,1641.7
8/4/2023,1628.29
8/7/2023,1642.69
8/8/2023,1624.26
8/9/2023,1596.26
8/10/2023,1597.82
8/11/2023,1582.75
8/14/2023,1612.65
8/15/2023,1595.86
8/16/2023,1576.95
8/17/2023,1561.86
8/18/2023,1561.33
8/21/2023,1596.32
8/22/2023,1590.86
8/23/2023,1623.13
8/24/2023,1587.64
8/25/2023,1598
8/28/2023,1612.39
8/29/2023,1648.82
8/30/2023,1659.39
8/31/2023,1671.16
9/1/2023,1673.8
9/5/2023,1676.88
9/6/2023,1663.15
9/7/2023,1646.12
9/8/2023,1645.47
9/11/2023,1655.23
9/12/2023,1627.89
9/13/2023,1634.22
