date,S&P Aerospace & Defense Select Industry Index
8/13/2021,18983.31
8/16/2021,18904.49
8/17/2021,18777.52
8/18/2021,18587.72
8/19/2021,18254.43
8/20/2021,18447.86
8/23/2021,18708.44
8/24/2021,18875.48
8/25/2021,18903.73
8/26/2021,18749.2
8/27/2021,19050.28
8/30/2021,18878.47
8/31/2021,18918.08
9/1/2021,18879.22
9/2/2021,18982.73
9/3/2021,18791.61
9/7/2021,18580.47
9/8/2021,18504.36
9/9/2021,18454.98
9/10/2021,18274.95
9/13/2021,18439.85
9/14/2021,18149.69
9/15/2021,18298.09
9/16/2021,18135.06
9/17/2021,18155.92
9/20/2021,18013.47
9/21/2021,17901.11
9/22/2021,18196.55
9/23/2021,18509.89
9/24/2021,18532.67
9/27/2021,18839.66
9/28/2021,18538.52
9/29/2021,18571.65
9/30/2021,18428.37
10/1/2021,18755.43
10/4/2021,18630.76
10/5/2021,18663.31
10/6/2021,18738.92
10/7/2021,18949.7
10/8/2021,18936.68
10/11/2021,18934.23
10/12/2021,18997.14
10/13/2021,18943.95
10/14/2021,19043.31
10/15/2021,19017.24
10/18/2021,18896.02
10/19/2021,19034.88
10/20/2021,19090.74
10/21/2021,19121.9
10/22/2021,19091.86
10/25/2021,19100.82
10/26/2021,18732.77
10/27/2021,18451.12
10/28/2021,18417.39
10/29/2021,18435.38
11/1/2021,18697.82
11/2/2021,18557.38
11/3/2021,18726.42
11/4/2021,18756.76
11/5/2021,19426.43
11/8/2021,19299.27
11/9/2021,19330.2
11/10/2021,19111.35
11/11/2021,18933.29
11/12/2021,18961.95
11/15/2021,19108.11
11/16/2021,18831.04
11/17/2021,18895.1
11/18/2021,18736.43
11/19/2021,18383.89
11/22/2021,18471.6
11/23/2021,18478.12
11/24/2021,18480.41
11/26/2021,17637.48
11/29/2021,17628.23
11/30/2021,17231.07
12/1/2021,16814.7
12/2/2021,17349.26
12/3/2021,17220.7
12/6/2021,17673.48
12/7/2021,17684.83
12/8/2021,17856.58
12/9/2021,17723.92
12/10/2021,17710.89
12/13/2021,17434.94
12/14/2021,17368.36
12/15/2021,17497.22
12/16/2021,17318.9
12/17/2021,17461
12/20/2021,17162.55
12/21/2021,17817.42
12/22/2021,17848.4
12/23/2021,18114.53
12/27/2021,18122.71
12/28/2021,18129.99
12/29/2021,17936.94
12/30/2021,17964.37
12/31/2021,18000.9
1/3/2022,18147.99
1/4/2022,18490.11
1/5/2022,18134.48
1/6/2022,18162.8
1/7/2022,18292.25
1/10/2022,18180.84
1/11/2022,18376.45
1/12/2022,18295.85
1/13/2022,18150.74
1/14/2022,18299.07
1/18/2022,17992.12
1/19/2022,17809.94
1/20/2022,17728.36
1/21/2022,17368.08
1/24/2022,17570.95
1/25/2022,17260.96
1/26/2022,17041.19
1/27/2022,16554.98
1/28/2022,16694.23
1/31/2022,17026.69
2/1/2022,17230.98
2/2/2022,17200.33
2/3/2022,17009.15
2/4/2022,17021.15
2/7/2022,17181.72
2/8/2022,17442.78
2/9/2022,17739.22
2/10/2022,17430.46
2/11/2022,17424.84
2/14/2022,17271.37
2/15/2022,17743.08
2/16/2022,17915.19
2/17/2022,17626.72
2/18/2022,17389.4
2/22/2022,17179.75
2/23/2022,16924.07
2/24/2022,17667.96
2/25/2022,18123.69
2/28/2022,18948.58
3/1/2022,18813.05
3/2/2022,19113.66
3/3/2022,18854.07
3/4/2022,18836.45
3/7/2022,18646.42
3/8/2022,18239.94
3/9/2022,18629.6
3/10/2022,18585.98
3/11/2022,18284.16
3/14/2022,18089.5
3/15/2022,18440.95
3/16/2022,18468.97
3/17/2022,18844.78
3/18/2022,19098.11
3/21/2022,19205.78
3/22/2022,19483.62
3/23/2022,19311.99
3/24/2022,19615.34
3/25/2022,19547.56
3/28/2022,19250.26
3/29/2022,19560.36
3/30/2022,19543.95
3/31/2022,19232.7
4/1/2022,19466.74
4/4/2022,19528.22
4/5/2022,19155.82
4/6/2022,18961.41
4/7/2022,19095.79
4/8/2022,18713.29
4/11/2022,18741.41
4/12/2022,18904.16
